Company,Bond_ID,Issue_Date,Maturity_Date,Coupon_Rate,Face_Value,Market_Price,Credit_Rating,Yield_to_Maturity,Liquidity_Score,ESG_Score,Trading_Volume,Bid_Ask_Spread,Market_Cap,Debt_to_Equity,Sector,Issuer_ID
SX-TechCorp,BOND_000_00,2020-01-15,2025-01-15,4.2,10000,9850.50,AA,4.8,85.2,78.5,45000,0.08,5000000000,0.8,Technology,550e8400-e29b-41d4-a716-446655440000
SX-DataFlow,BOND_001_00,2019-06-20,2029-06-20,5.1,25000,23800.75,A+,5.8,72.3,75.2,32000,0.12,3200000000,1.2,Technology,6ba7b810-9dad-11d1-80b4-00c04fd430c8
SX-CloudSync,BOND_002_00,2021-03-10,2031-03-10,4.8,50000,47250.25,AA-,5.2,78.9,76.8,28000,0.15,2800000000,0.9,Technology,6ba7b811-9dad-11d1-80b4-00c04fd430c8
SX-AINexus,BOND_003_00,2020-08-05,2028-08-05,4.5,10000,9750.00,A,4.9,82.1,79.2,38000,0.09,3800000000,0.7,Technology,6ba7b812-9dad-11d1-80b4-00c04fd430c8
SX-CyberShield,BOND_004_00,2021-11-12,2031-11-12,5.2,25000,24100.50,BBB+,6.1,68.7,72.1,22000,0.18,2200000000,1.4,Technology,6ba7b813-9dad-11d1-80b4-00c04fd430c8
SX-GlobalBank,BOND_005_00,2019-12-01,2027-12-01,3.8,10000,9900.25,AAA,3.9,92.5,82.3,65000,0.05,8000000000,0.6,Finance,6ba7b814-9dad-11d1-80b4-00c04fd430c8
SX-InvestmentCorp,BOND_006_00,2020-04-18,2030-04-18,4.6,25000,24200.75,A,4.8,80.2,78.9,42000,0.11,4200000000,0.8,Finance,6ba7b815-9dad-11d1-80b4-00c04fd430c8
SX-CreditUnion,BOND_007_00,2021-07-22,2026-07-22,3.9,10000,9850.00,AA+,4.1,88.7,81.5,58000,0.06,5800000000,0.5,Finance,6ba7b816-9dad-11d1-80b4-00c04fd430c8
SX-AssetManagement,BOND_008_00,2020-10-30,2032-10-30,5.0,50000,47500.50,A-,5.5,75.6,76.2,35000,0.14,3500000000,1.1,Finance,6ba7b817-9dad-11d1-80b4-00c04fd430c8
SX-InsuranceCo,BOND_009_00,2019-09-14,2029-09-14,4.3,25000,24300.25,AA,4.6,79.8,79.8,39000,0.10,3900000000,0.7,Finance,6ba7b818-9dad-11d1-80b4-00c04fd430c8
SX-SolarPower,BOND_010_00,2021-01-08,2031-01-08,5.5,10000,9400.75,BBB,6.2,65.4,68.9,18000,0.22,1800000000,1.6,Energy,6ba7b819-9dad-11d1-80b4-00c04fd430c8
SX-WindEnergy,BOND_011_00,2020-05-25,2030-05-25,5.1,25000,23500.50,BBB+,5.9,70.2,71.5,25000,0.16,2500000000,1.3,Energy,6ba7b81a-9dad-11d1-80b4-00c04fd430c8
SX-NuclearCorp,BOND_012_00,2019-11-03,2035-11-03,6.2,50000,46000.25,BB+,7.8,58.9,62.1,12000,0.35,1200000000,2.1,Energy,6ba7b81b-9dad-11d1-80b4-00c04fd430c8
SX-HydroElectric,BOND_013_00,2020-12-17,2028-12-17,4.4,10000,9700.00,A,4.7,81.5,77.8,31000,0.13,3100000000,0.9,Energy,6ba7b81c-9dad-11d1-80b4-00c04fd430c8
SX-Geothermal,BOND_014_00,2021-06-09,2031-06-09,5.3,25000,23800.75,BBB,6.0,69.8,70.2,20000,0.20,2000000000,1.5,Energy,6ba7b81d-9dad-11d1-80b4-00c04fd430c8
SX-HeavyMachinery,BOND_015_00,2020-02-28,2030-02-28,5.2,10000,9300.50,BBB,6.1,66.7,69.8,19000,0.24,1900000000,1.7,Industrial,6ba7b81e-9dad-11d1-80b4-00c04fd430c8
